Adjustable-rate mortgage, <div>There are two types of conventional loans: the fixed-rate and the adjustable-rate mortgage. In an adjustable-rate mortgage the interest rate can change over the course of the loan at five seven or ten year intervals. For homeowners who plan to stay in their home for more than a few years this is a risky loan as rates can suddenly skyrocket depending on market conditions.</div>
Assessed value, <div>This is how much a home is worth according to a public tax assessor who makes that determination in order to figure out how much city or state tax the owner owes.</div>
Buyer’s agent, <div>This is the agent who represents the buyer in the home-buying process. On the other side is the listing agent who represents the seller.</div>
Cash reserves, <div>The cash reserves is the money left over for the buyer after the down payment and the closing costs.</div>
Closing, <div>The closing refers to the meeting that takes place where the sale of the property is finalized. At the closing buyers and sellers sign the final documents and the buyer makes the down payment and pays closing costs.</div>
Comparative market analysis, <div>Comparative market analysis (CMA) is a report on comparable homes in the area that is used to derive an accurate value for the home in question.</div>
Contingencies, <div>This term refers to conditions that have to be met in order for the purchase of a home to be finalized. For example there may be contingencies that the loan must be approved or the appraised value must be near the final sale price.</div>
Dual agency, <div>Dual agency is when one agent represents both sides rather than having both a buyer’s agent and a listing agent.</div>
Equity,<div>Equity is ownership. In homeownership equity refers to how much of your home you actually own—meaning how much of the principal you’ve paid off. The more equity you have the more financial flexibility you have as you can refinance against whatever equity you’ve built. Put another way equity is the difference between the fair market value of the home and the unpaid balance of the mortgage. If you have a $200 000 home and you still owe $150 000 on it you have $50 000 in equity.</div>
Escrow, <div>Escrow is an account that the lender sets up that receives monthly payments from the buyer.</div>
Fixed-rate mortgage, <div>There are two types of conventional loans: the fixed-rate and the adjustable-rate mortgage. In a fixed-rate mortgage the interest rate stays the same throughout the life of the loan.</div>
Home warranty, <div>This warranty protects from future problems to things such as plumbing and heating which can be extremely expensive to fix.</div>
Inspection, <div>Home inspections are required once a potential buyer makes an offer. Typically they cost a few hundred dollars. The purpose is to check that the house’s plumbing foundation appliances and other features are up to code. Issues that may turn up during an inspection may factor into the negotiation on a final price. Failing to do an inspection may result in surprise costly repairs down the road for the home buyer.</div>
Interest, <div>This is the cost of borrowing money for a home. Interest is combined with principal to determine monthly mortgage payments. The longer a mortgage is the more you will pay in interest when you have finally paid off the loan.</div>
Listing, <div>A listing is essentially a home that is for sale. The term gets its name from the fact that these homes are often listed on a website or in a publication.</div>
Listing agent, <div>This is the agent who represents the seller in the home-buying process. On the other side is the buyer’s agent who represents the buyer.</div>
Mortgage broker, <div>The broker is an individual or company that is responsible for taking care of all aspects of the deal between borrowers and lenders whether that be originating the loan or placing it with a funding source such as a bank.</div>
Offer, <div>This is the initial price offered by a prospective buyer to the seller. A seller may accept the offer reject it or counter with a different offer.</div>
Pre-approval letter, <div>Before buying a home a buyer can obtain a pre-approval letter from a bank which provides an estimate on how much the bank will lend that person. This letter will help determine what the buyer can afford.</div>
Principal, <div>The principal is the amount of money borrowed to purchase a home. Paying off the principal allows a buyer to build equity in a home. Principal is combined with interest to determine the monthly mortgage payment.</div>
Private mortgage insurance,<div>Private mortgage insurance (PMI) is an insurance premium that the buyer pays to the lender in order to protect the lender from default on a mortgage. These insurance payments typically end once the buyer builds up 20% equity in a home.</div>
Real estate agent, <div>A real estate agent is a professional with a real estate license who works under a broker and assists both buyers and sellers in the home-buying process.</div>
Real estate broker, <div>A real estate broker is a real estate agent who has passed a state broker’s exam and met a minimum number of transactions. These brokers are able to work on their own or hire their own agents.</div>
Realtor, <div>A Realtor is a real estate agent who specifically is a member of the National Association of Realtors. NAR has a code of standards and ethics that members must adhere to.</div>
Refinancing, <div>Refinancing is when you restructure your home loan replacing your old loan with an entirely new loan that has different rates and payment structures. The main reason people refinance their home loans is to get a lower interest rate on their mortgage and therefore lower not only the monthly payment but also the overall debt owed.</div>
Title insurance, <div>Title insurance is often required as part of the closing costs. It covers research into public records to ensure that the title is free and clear and ready for sale. If you purchase a home and find out later that there are liens on the home you’ll be glad you had title insurance.</div>
1031 exchange or Starker exchange, <div>The delayed exchange of properties that qualifies for tax purposes as a tax-deferred exchange.</div>
1099, <div>The statement of income reported to the IRS for an independent contractor.</div>
24-hour notice,<div>Allowed by law tenants must be informed of showing 24 hours before you arrive.</div>
A/I, <div>A contract that is pending with attorney and inspection contingencies.</div>
Accompanied showings, <div>Those showings where the listing agent must accompany an agent and his or her clients when viewing a listing.</div>
Addendum, <div>An addition to; a document.</div>
Adjustable rate mortgage (ARM), <div>A type of mortgage loan whose interest rate is tied to an economic index which fluctuates with the market. Typical ARM periods are one three five and seven years.</div>
Agent, <div>The licensed real estate salesperson or broker who represents buyers or sellers.</div>
Amended value, <div>The actual sale price after the seller successfully markets and sells his or her home through the broker of his or her choice. The sale is turned over to a third-party relocation company for closing and the guaranteed offer is amended or changed.</div>
Annual percentage rate (APR), <div>The total costs (interest rate closing costs fees and so on) that are part of a borrower’s loan expressed as a percentage rate of interest. The total costs are amortized over the term of the loan.</div>
Application fees, <div>Fees that mortgage companies charge buyers at the time of written application for a loan; for example fees for running credit reports of borrowers property appraisal fees and lender-specific fees.</div>
Appointments, <div>Those times or time periods an agent shows properties to clients.</div>
Appraisal, <div>A document of opinion of property value at a specific point in time.</div>
Appraised price (AP), <div>The price the third-party relocation company offers (under most contracts) the seller for his or her property. Generally the average of two or more independent appraisals.</div>
As-is, <div>A contract or offer clause stating that the seller will not repair or correct any problems with the property. Also used in listings and marketing materials.</div>
Assumable mortgage, <div>One in which the buyer agrees to fulfill the obligations of the existing loan agreement that the seller made with the lender. When assuming a mortgage a buyer becomes personally liable for the payment of principal and interest. The original mortgagor should receive a written release from the liability when the buyer assumes the original mortgage.</div>
Back on market (BOM), <div>When a property or listing is placed back on the market after being removed from the market recently.</div>
Back-up agent, <div>A licensed agent who works with clients when their agent is unavailable.</div>
Balloon mortgage, <div>A type of mortgage that is generally paid over a short period of time but is amortized over a longer period of time. The borrower typically pays a combination of principal and interest. At the end of the loan term the entire unpaid balance must be repaid.</div>
Back-up offer, <div>When an offer is accepted contingent on the fall through or voiding of an accepted first offer on a property.</div>
Bill of sale, <div>Transfers title to personal property in a transaction.</div>
Board of REALTORS® (local), <div>An association of REALTORS® in a specific geographic area.</div>
Broker, <div>A state licensed individual who acts as the agent for the seller or buyer.</div>
Broker of record, <div>The person registered with his or her state licensing authority as the managing broker of a specific real estate sales office.</div>
Broker’s market analysis (BMA), <div>The real estate broker’s opinion of the expected final net sale price determined after acquisition of the property by the third-party company.</div>
Broker’s price opinion (BPO), <div>The real estate broker’s opinion of the expected final net sale price determined prior to the acquisition of the property.</div>
Broker’s tour, <div>A preset time and day when real estate sales agents can view listings by multiple brokerages in the market.</div>
Buyer, <div>The purchaser of a property.</div>
Buyer agency, <div>A real estate broker retained by the buyer who has a fiduciary duty to the buyer.</div>
Buyer agent, <div>The agent who shows the buyer’s property negotiates the contract or offer for the buyer and works with the buyer to close the transaction.</div>
Carrying costs, <div>Cost incurred to maintain a property (taxes interest insurance uti...
Closing costs,"<div>In addition to the final price of a home, there are also closing costs, which will typically make up about  <a href=""https://www.redfin.com/resources/10-real-estate-terms-to-know"">two to five percent of the purchase price</a>, not including the down payment. Examples of closings costs include loan processing costs, title insurance, and excise tax.</div>"
"Covenants, conditions & restrictions (CC&Rs)","<div>Usually, these are the rules and regulations placed on real property by a  <a href=""https://www.opendoor.com/w/blog/real-estate-terms-you-should-know#hoa"">homeowner’s association</a> (HOA), a neighborhood association, a developer, or a builder that sets forth any requirements and limitations of what a homeowner is allowed to do with the property. It may also include monthly and/or annual fees or special assessments.</div>"
